Number of voters (balsuotojų skaičius),Distirct No (apylinkės nr.),Turnouts (balsų skaičius),Valid ballot papers (galiojančių biuletenių skaičius),Invalid ballot papers percent (negaliojančių biuletenių procentas),Distirct (apylinkė),Turnouts percent (balsavusiųjų procentas),Invalid ballot papers (negaliojančių biuletenių skaičius),Valid ballot papers percent (galiojančių biuletenių procentas)
419,6,196,185,5.61,Trepų,46.78,11,94.39
891,4,533,505,5.25,Pašilės,59.82,28,94.75
1325,5,548,520,5.11,Siesikų,41.36,28,94.89
1058,8,491,472,3.87,Taujėnų,46.41,19,96.13
350,9,196,188,4.08,Balelių,56.0,8,95.92
1491,1,681,638,6.31,Vidiškių,45.67,43,93.69
930,2,450,426,5.33,Rečionių,48.39,24,94.67
1606,3,642,610,4.98,Deltuvos,39.98,32,95.02
701,4,340,328,3.53,Dainavos,48.5,12,96.47
1733,8,864,832,3.7,Mokyklos,49.86,32,96.3
1806,9,964,925,4.05,Ateities,53.38,39,95.95
1023,,528,506,4.17,Kalnų,51.61,22,95.83
2038,1,1231,1200,2.52,Lakštingalų,60.4,31,97.48
2464,2,1317,1266,3.87,Lietavos,53.45,51,96.13
1156,3,596,577,3.19,Baldininkų,51.56,19,96.81
1472,4,634,612,3.47,Ruklos,43.07,22,96.53
692,5,294,284,3.4,Bukonių,42.49,10,96.6
2696,3,1395,1331,4.59,Girelės,51.74,64,95.41
2502,4,1174,1148,2.21,Versmės,46.92,26,97.79
2187,4,1159,1124,3.02,Lomenos,52.99,35,96.98
1133,5,466,444,4.72,Kruonio,41.13,22,95.28
550,6,238,234,1.68,Kalvių,43.27,4,98.32
483,7,250,243,2.8,Vilūnų,51.76,7,97.2
465,8,221,212,4.07,Darsūniškio,47.53,9,95.93
263,,115,110,4.35,Ismonių,43.73,5,95.65
626,,273,250,8.42,Pastrėvio,43.61,23,91.58
378,1,278,271,2.52,Tiltų,73.54,7,97.48
703,1,355,333,6.2,Semeliškių,50.5,22,93.8
3989,2,2054,1983,3.46,Vievio,51.49,71,96.54
2218,2,1228,1159,5.62,Rūdiškių,55.37,69,94.38
441,3,258,236,8.53,Šklėrių,58.5,22,91.47
1121,4,675,635,5.93,Aukštadvario,60.21,40,94.07
1110,2,678,659,2.8,Marijampolio,61.08,19,97.2
874,3,476,447,6.09,Parudaminio,54.46,29,93.91
3362,7,1700,1645,3.24,Nemėžio,50.57,55,96.76
3921,8,1688,1646,2.49,Skaidiškių,43.05,42,97.51
283,,169,162,4.14,Senojo Tarpupio,59.72,7,95.86
350,2,205,196,4.39,Šventininkų,58.57,9,95.61
3832,8,2189,2100,4.07,Rudaminos,57.12,89,95.93
936,9,578,547,5.36,Kalviškių,61.75,31,94.64
205,9,113,107,5.31,Kūlokų,55.12,6,94.69
289,,148,142,4.05,Tautkaičių,51.21,6,95.95
371,1,160,156,2.5,Gavaltuvos,43.13,4,97.5
391,2,183,174,4.92,Tolkūnų,46.8,9,95.08
430,3,211,199,5.69,Krivilių,49.07,12,94.31
768,4,362,346,4.42,Vydenių,47.14,16,95.58
333,5,189,183,3.17,Dailidžių,56.76,6,96.83
277,5,155,150,3.23,Rudnios,55.96,5,96.77
2840,6,1475,1399,5.15,Parko,51.94,76,94.85
225,7,154,148,3.9,Tausiūnų,68.44,6,96.1
2243,7,1160,1087,6.29,Dzūkų,51.72,73,93.71
615,,352,341,3.12,Vištyčio,57.24,11,96.88
202,1,86,78,9.3,Vartų,42.57,8,90.7
551,2,275,256,6.91,Pūstapėdžių,49.91,19,93.09
642,4,323,310,4.02,Stirniškių,50.31,13,95.98
202,4,130,124,4.62,Mikalavo,64.36,6,95.38
